Code,Name (en-CA),Name (fr-CA)
ENGLISH,English,anglais
FRENCH,French,français
FRENCHDESIGNATED,French - Designated Agency under the French Language Services Act,français - désigné en vertu de la Loi sur les services en français
ABENAKI,Abenaki,abénaqui
ADANGME,Adangme,adangme
ADAPTIVEASL,Adaptive American Sign Language,langue des signes américaine adaptative
ADYGHE,Adyghe,adygué
AFAR,Afar,afar
AFRIKAANS,Afrikaans,afrikaans
AKAN,Akan,akan
ALBANIAN,Albanian,albanais
ALGONQUIN,Algonquin,algonquin
AMHARIC,Amharic,amharique
ARABIC,Arabic,arabe
ARMENIAN,Armenian,arménien
ASL,American Sign Language (ASL),langue des signes américaine (ALS)
ASSAMESE,Assamese,assamais
ASSYRIAN,Assyrian,assyrien
AZERBAIJANI,Azerbaijani,azerbaïdjanais
BALOCHI,Balochi,baloutche
BAMBARA,Bambara,bambara
BANA,Bana,bana
BARI,Bari,bari
BELORUSSIAN,Belorussian,biélorusse
BEMBA,Bemba,bemba
BENGALI,Bengali,bengali
BHOJPURI,Bhojpuri,bhojpouri
BILEN,Bilen,bilen
BLISS,Bliss Symbols,symboles Bliss
BOSNIAN,Bosnian,bosnien
BRAILLE,Braille,braille
BRAVA,Swahili (Brava),swahili (Brava)
BULGARIAN,Bulgarian,bulgare
BURMESE,Burmese,birman
CANTONESE,Chinese (Cantonese),chinois (cantonais)
CATALAN,Catalan,catalan
CEBUANO,Cebuano,cebuano
CHAOZHOU,Chinese (Chaozhou),chinois (teochew)
CHINESE,Chinese,chinois
CHITTAGONIAN,Chittagonian,chittagonien
CREE,Cree,cri
CROATIAN,Croatian,croate
CZECH,Czech,tchèque
DANISH,Danish,danois
DARI,Dari,dari
DINKA,Dinka,dinka
DUTCH,Dutch,néerlandais
DYULA,Dyula,dyula
EDO,Edo,edo
EFIK,Efik,efik
ESPERANTO,Esperanto,espéranto
ESTONIAN,Estonian,estonien
EWE,Ewe,éwé
FACILITATED,Facilitated Communication,communication facilitée
FANTI,Fanti,fante
FARSI,Farsi,farsi
FIJIAN,Fijian,fidjien
FILIPINO,Filipino,filipino
FINGERSPELL,Finger Spelling,dactylologie
FINNISH,Finnish,finnois
FRENCHCREOLE,French Creole,créole français
FRIULIAN,Friulian,frioulan
FUJIAN,Chinese (Fujian),chinois (fujien)
FULA,Fula,peul
GA,Ga,ga
GAELIC,Gaelic,gaélique
GANDA,Ganda,ganda
GEORGIAN,Georgian,géorgien
GERMAN,German,allemand
GHOMALA,Ghomala,ghomálá'
GREEK,Greek,grec
GUJARATI,Gujarati,gujarati
GUYANESECREOLE,Guyanese Creole English,créole anglais guyanais
HAITIANCREOLE,Haitian Creole,créole haïtien
HAKKA,Chinese (Hakka),chinois (hakka)
HANDOVERHAND,Hand over Hand Sign Language,langue des signes main-sur-main
HARARI,Harari,harari
HAUSA,Hausa,haoussa
HEBREW,Hebrew,hébreu
HERERO,Herero,herero
HILIGAYNON,Hiligaynon,hiligaynon
HINDI,Hindi,hindi
HINDKO,Hindko,hindko
HUNGARIAN,Hungarian,hongrois
IBO,Ibo,ibo
ILOCANO,Ilocano,ilocano
INDONESIAN,Indonesian,indonésien
INUINNAQTUN,Inuinnaqtun,inuinnaqtun
INUKTITUT,Inuktitut,inuktitut
IRISH,Irish,irlandais
IROQUOIS,Iroquois,iroquois
ISOKO,Isoko,isoko
ITALIAN,Italian,italien
JAPANESE,Japanese,japonais
JAVANESE,Javanese,javanais
JUDAARABIC,Juba Arabic,arabe de Juba
KACHI,Kachi,kachi
KANNADA,Kannada,kannada
KASHMIRI,Kashmiri,kachméré
KAZAKH,Kazakh,kazakh
KHMER,Khmer,khmer
KIKONGOKITUBA,Kikongo-Kituba,kituba
KIKUYU,Kikuyu,kikuyu
KINYARWANDA,Kinyarwanda,kinyarwanda
KIPSIGIS,Kipsigis,kipsikis
KONKANI,Konkani,konkani
KOREAN,Korean,coréen
KRIO,Krio,krio
KURDISH,Kurdish,kurde
LAO,Lao,lao
LARGEPRINT,Large Print Notes,gros caractères
LATVIAN,Latvian,letton
LENJE,Lenje,lenje
LIMBA,Limba,limba
LINGALA,Lingala,lingala
LITHUANIAN,Lithuanian,lituanien
LOWGERMAN,Low German,bas-allemand
LUBAKASAI,Luba-Kasai,tshiluba
LUBASHABA,Luba-Shaba,luba-katanga
LUO,Luo,luo
MACEDONIAN,Macedonian,macédonien
MALAY,Malay,malais
MALAYALAM,Malayalam,malayalam
MALTESE,Maltese,maltais
MANDARIN,Mandarin,mandarin
MANDINGO,Mandingo,meninka
MARATHI,Marathi,marathi
MAYMAY,Somali (May May),somali (may may)
MENDE,Mende,mendé
MICHIF,Michif (Métis),michif (Métis)
MICMAC,Micmac,micmac
MINDONG,Chinese (Min Dong),chinois (mindong)
MOHAWK,Mohawk,mohawk
MONGOLIAN,Mongolian,mongol
NAMA,Nama,nama
NANDI,Nandi,nandi
NDEBELE,Ndebele,ndébélé
NEPALI,Nepali,népalais
NORWEGIAN,Norwegian,norvégien
NUER,Nuer,nuer
ODAWA,Odawa,outaouais
OJIBWAY,Ojibway,ojibwé
OJICREE,Oji-Cree,oji-cri
ONEIDA,Oneida,oneida
ORIYA,Oriya,oriya
OROMO,Oromo,oromo
PASHTO,Pashto,pachtou
PICTUREBOARD,Picture Boards,pictogrammes
POLISH,Polish,polonais
PORTUGUESE,Portuguese,portugais
PUNJABI,Punjabi,pendjabi
QUECHUA,Quechua,quechua
QUICHE,Quiché,kiché
ROMANI,Romani,tzigane
ROMANIAN,Romanian,roumain
ROMANSCH,Romansch,romanche
RUNDI,Rundi,kiroundi
RUSSIAN,Russian,russe
SAHO,Saho,saho
SERAIKI,Seraiki,seraiki
SERBIAN,Serbian,serbe
SERBOCROATION,Serbo-Croation,serbo-croate
SGAWKAREN,Sgaw Karen,sgaw karen
SHILLUK,Shilluk,shilluk
SHONA,Shona,shona
SIGNEDENGLISH,Signed English,anglais signé
SIGNEDFRENCH,French Sign Language (LSF),langue des signes française (LSF)
SIGNEDFRENCHQUEBEC,Quebec Sign Language (LSQ),langue des signes québécoise (LSQ)
